,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Family
36,0.0368497287211843,0.0252298508972721,0.0278286047493616,0.0589579524680073,0.0186130466005473,0.036059943802685,0.0103230650118481,0.0350887906397323,0.0157806335690012,0.0269164950546741,0.0292665270560252,0.0174054998620436,0.00754802552722796,0.033965211517352,0.0220470291116344,0.0269852214912689,0.00129715069058534,0.0332104103085792,0.0155043799060636,0.0197690182417243,0.0300908797692906,0.0241777342009092,0.0120696418333786,0.0493137085635359,0.32413991425285,0.39591071231567,0.39252759497197,0.365395919052817,0.568913755458515,0.309591319798873,0.108193238838223,0.479337563844606,0.337906635602727,0.270597463720748,0.238791557456201,0.279363469525741,0.384245835465348,0.390023131851554,0.280188337558855,0.365839269326574,0.377019583843329,0.187155638679674,0.0155126322527204,0.0130802517702596,0.0017557060446451,0.012790070156503,0.00427209001474172,0.0166843673986776,0.00468354825615887,0.0121397379912664,0,0.00534967415621049,0.0107604017216643,0.00890183369569676,0.00217290799815072,0.0286163522012579,0.0060171012350892,0.00760145012279266,0.000917466264000918,0.0147750539538487,0.000597639324667563,0.0491066146018223,0.00455743711183593,0.0327556914712878,0.0107664088045299,0.00948850069121528,Lachnospiraceae
39,0.188422163847495,0.123518773791307,0.0433917117406953,0.110990015468992,0.0859810181860528,0.0897596003746488,0.194495929427774,0.109174625662571,0.184367798132885,0.122255416654581,0.169394244939114,0.0758760231766762,0.0410606109689332,0.0903909482394663,0.119995904576636,0.0563931493318921,0.0593299037455226,0.134749067480502,0.0980156343956705,0.13167333070204,0.120799893752253,0.114872091986808,0.0765517033282037,0.129402624309392,0,7.35483396462325e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126812003463986,0.0482149881982691,0.00398169049410584,0.03815434430653,0.00857426517043232,0.0387474733632533,0.0389046741811596,0.0479475982532751,0.00962763698145264,0.0135200855947865,0.0425292068046731,0.0958690568978956,0.0116967175219602,0.106546598056032,0.0401667898237095,0.0226874049818735,0.00603998623800604,0.0240717171158209,0.0248020319737039,0.0797538752810318,0.061167954961798,0.0513761467889908,0.034771512879815,0.0204222696996355,Leptotrichiaceae
43,0.000515552500429627,0.00792938171057124,0.00629360786600446,0.0286527914498664,0.0466005473283776,0.0220815712542219,0.0242826642892335,0.0117858276948631,0.0178899261747588,0.017983003161528,0.000801468497117299,0.0202565989147429,0.0266772490200525,0.00303977032846407,0.0112282857240367,0.00559086080620213,0.0700019162453384,0.00754493048491014,0.0165120020802522,0.00490793334820586,0.0097899709715977,0.0183839914430876,0.0630940526839866,0.00192075276243094,0,0.000404515868054279,0,0,0.000454876273653566,0,0,0.00023216220399319,0,0,0,0,0,0,0.000181093806591815,0,0,0.000176919577414952,0.00805753228660718,0.0372492132179386,0.0366503636819664,0.0555315704263357,0.0126658443394807,0.0480660522799685,0.0675367658538109,0.0731004366812227,0.125631223748171,0.00972668028401906,0.0253125640500102,0.0137014398818558,0.0311604253351826,0.0230703259005146,0.100548928533727,0.0411647760495848,0.0878856225390879,0.0316529245752864,0.099805767219483,0.0123062359484085,0.0163978374514097,0.0325518178729188,0.0141957093867135,0.0811863767751665,Micrococcaceae
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00379065146920422,0.00820063987055492,0.00201956892649466,0,0.00200145560407569,0.00601111489168652,0.00043951214152291,0,0.00138061955302442,0.00237939599947706,0.00296592633466685,0.00313918670916643,0.00488941952356587,6.70488450836434e-05,0.000796812749003984,0.00321199143468951,0.00205018359853121,0.00227468028104939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monoglobaceae
48,0.0103110500085925,0.0549492241346604,0.0506906882753906,0.0180705948530446,0.1045940647866,0.0772854993897766,0.0372803415996058,0.0234006692884536,0.0213077614155697,0.0404907619572469,0.0357299826779389,0.0326266899659708,0.122922673232045,0.05534915139745,0.0379509231766834,0.047242773812408,0.0587845108415265,0.0123770769752458,0.0777819310591409,0.0711650335489849,0.0219135978143321,0.0263392459220964,0.0646631061223258,0.0246029005524862,0,0,0,0,0,7.56115080715285e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0181482736548816,0.127286585365854,0.052514421871081,0.0370750134916352,0.131291555100936,0.148035218746788,0.134511505916883,0.118471615720524,0.0217565718061258,0.0114774827351425,0.116724738675958,0.0811830824137507,0.128201571890892,0.140623213264723,0.0941095745803864,0.229563793708338,0.0424710424710425,0.100049803552653,0.115643209323173,0.0625961424683469,0.107859344980117,0.0491335372069317,0.233750697822793,0.23746386829207,Neisseriaceae
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00878385443898358,0.0027212885669106,0.0122915143284933,0.0106222184902175,0.000909752547307132,0.00914899247665495,0.0717869831154086,0,0.00194149624644059,0.0455222904954896,0.0097599668919851,0.0057229788467111,0.0153789300130764,0.00258138053572027,0.00764215863817457,0.0147052396975921,0.00630354957160343,0.0115755952080069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oscillospiraceae
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202944387966414,0.0292338709677419,0.0315713569099574,0.0599028602266595,0.0253617738199103,0.053479050327178,0.0432135385768258,0.0110043668122271,0.0370475246590212,0.14269039976656,0.00440664070506251,0.0086557000451245,0.0536292186777624,0.0879073756432247,0.0295049086878497,0.0501695708104315,0.0230895676440231,0.0359138951911903,0.0543851785447482,0.0204709501834102,0.0962870291765337,0.0150186884131838,0.0177845123215567,0.0502702023375644,P5D1-392
51,0.000662853214838092,0.000746145966385492,0.000462469587597772,0.00608212628322318,0.000291132115754129,0.0080748162234269,0,0.00106255648647988,0,0.00214635844185979,0,0.000620803825990987,0,0.000464409355737567,0,0.0015654410257366,0,0.000868938623262123,0,0.00121840303399516,0.00130912402527179,0.000155985381941349,0.000271566941251018,0.0100785566298343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00655145148537219,0.000491738788355625,0,0.00156502968159741,0,0.00400835931344,0,0.000567685589519651,0,0.00194533605680381,0,0.000902490052098289,0,0.00100057175528874,0.000527815897814842,0,0,0.000553372807260251,0,0,0.000268084535990349,0.000475705062861026,0.00717760586968658,0,Paludibacteraceae
53,0.00260231262121621,0.0247619288505558,0.0300605231938552,0.013289270144846,0.0477456669836772,0.0309085232594443,0.0279426600661615,0.0141185666479396,0.00564431076911058,0.0241610348928271,0.0502598309160009,0.0105306723075508,0.0894100877903398,0.0147977708350925,0.0169277499061465,0.0827633761344788,0.0832977108238381,0.0143056968463886,0.0246379873559669,0.0369467849604448,0.0278710607699167,0.0247571084766913,0.0282731359946894,0.0205455801104972,0.000156854543553278,0.00319935277461111,0.000974964309342247,0,0.000773289665211063,0.000945143850894106,0,0,0,0,0.000379362670713202,0.000289771080846132,0.000284268576951504,0,0,0.000284053664292269,0.00107099143206854,0.00189556690087449,0.0143454196317632,0.0212922895357986,0.0316027088036117,0.0525094441446303,0.025722795511297,0.0400835931343999,0.0508008867518032,0.0320960698689956,0.0071263391382321,0.00700320980449373,0.031153924984628,0.0106247692497026,0.0456773000462321,0.0214408233276158,0.0378443998733242,0.0180095895216934,0.0597117626820597,0.022079575009684,0.0104586881816824,0.00674476393326234,0.0388722577186006,0.0137954468229698,0.0180237658505463,0.0360688701772025,Pasteurellaceae
54,0,0.000265577377866023,0,0.00959780621572212,0.000426993769772723,0.00217125989839071,0,0.00101370331468771,0,0.00205934391043304,0,0.000252920077255587,0,0,0.000170642640182929,0.00361542332134404,0,0.000317904374364191,0,0,0.000967613409983494,0.0015598538194135,0,0.00794198895027624,0,0,0,0,0,0,0.000586016188697213,0,0,0,0,0,0,0,0,0,0.000611995104039168,0,0,0,0,0.000539665407447383,0,0.000376854294425982,0,0,0,0,0,0,0,0,0,0,0,0.000498035526534226,0,0,0,0.00054366292898403,0,0,Peptococcaceae
55,0.0027250632165566,0.0023901964007942,0,0.00646885107579806,0.00452225219804747,0.00404450373229643,0.00668653074631068,0.000476318424973741,0,0.0068451431389042,0,0.00156350593212545,0.00197609252000389,0.00105547580849447,0.000136514112146343,0.00102499114780372,0,0.000551034248897932,0.000926362321431474,0.00355224546530983,0.00208700931565067,0.000646225153757019,0.00132766060167165,0.0115892610497238,0.0046794938826728,0.0371051373515243,0.0186984226470281,0.00810311529095642,0.0388464337700146,0.0164076972515217,0.0672453576530052,0.0171800030954961,0.0123392872551558,0.0204994116878023,0.0433508070078632,0.00664058726939051,0.00670873841605549,0.0167622112709109,0.0573342991669685,0.0357907617008259,0.0134944920440636,0.0163271495728656,0.00124251666101886,0.000270456333595594,0,0.00172692930383162,0,0.00222686628524444,0,0.000480349344978166,0,0.000778134422721525,0,0.000902490052098289,0,0.000457404230989137,0,0.00233890773009005,0,0.000830059210890377,0,0.00201159626079754,0.000268084535990349,0.00842677539925246,0.00183427705558657,0.000314188764609778,Peptostreptococcaceae
56,0.00127660619154003,0.0537604492051648,0.00932982124545071,0.0185979468429194,0.0275605069580576,0.0193994266738569,0.0166107500645192,0.0201275067783776,0,0.0243060591118717,0.0100312831252101,0.00892118090683344,0.0435550228384463,0.0560879844633961,0.0327975154431589,0.0547158910900315,0.0356274229448269,0.0151746354696507,0.0577269993986771,0.039915569817926,0.0478114861403609,0.014239237008646,0.0192510787242389,0.0247323895027624,0,0,0,0,0,0,0,0,0,0,0,9.65903602820439e-05,0,0,0,0,0,0,0.00225912120185248,0.0340529110936271,0.00642713819914723,0.023907177549919,0.0324618670838473,0.0557401760937339,0.0190464295750461,0.0127510917030568,0,0.00894854586129754,0.00307440049190408,0.0362226689092177,0.0426259824318077,0.0710977701543739,0.0288715296104719,0.0633843994854403,0.00863947398600864,0.0166565214985336,0.0389959659345585,0.012779552715655,0.0604530628658237,0.00496092422697927,0.0312624611213015,0.0541033052658037,Porphyromonadaceae
57,0.0537647607590897,0.10526981396937,0.0399734582671466,0.129623119111236,0.0507734409875201,0.0787330059887038,0.0457264857002088,0.119384938567136,0.0196281395257998,0.112567798822403,0.0218464800020683,0.152004966430608,0.101558197544462,0.115511272481635,0.054708030442647,0.0598594830317375,0.00732595333205584,0.177772126144456,0.0690546228730234,0.141043021639524,0.149410894188628,0.0704608253855067,0.0179837663317341,0.0858943370165746,0,0,0,0,0,0.157309742542815,0.0916749075193202,0,0.000517732332384157,0.102575500065368,0.437991447096151,0.277624843040665,0,0,0.255161173487867,0.00209762705938907,0,0.266061770206743,0.055875597725818,0.0561073957513769,0.0126975169300226,0.0788990825688073,0.0277384999548723,0.0759190105861797,0.0103038061635495,0.022882096069869,0.00556892727358535,0.0274292384009338,0.00809592129534741,0.0441809902777208,0.0115117891816921,0.0812750142938822,0.00781167528765966,0.047479826920828,0.00818074085400818,0.0359138951911903,0.0212161960256985,0.20967932789019,0.118225280371744,0.248725790010194,0.0378818087566792,0.0277114490385824,Prevotellaceae
58,0,0.00106230951146409,0.0019906299640078,0.00351567993249895,0.00815169924111562,0.00280986575085857,0.0065457616779673,0.00376169422799775,0,0.00365461031992343,0.000387807337314822,0.00204635335234066,0.00178172276393793,0.00713501646542261,0.00307156752329272,0.0103617286941613,0.000619094647779366,0.00525601898948796,0.000438803204888593,0.00274569697801726,0.00314948678543647,0.00236206435511186,0.00757370025044507,0.00813622237569061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00278624948228472,0.00233575924468922,0.000815149235013795,0.00302212628170534,0.00646830530401035,0.00404261879475145,0.00858650513629125,0.011528384279476,0,0.000291800408520572,0.0040992006558721,0.00237929195553185,0.00110957004160888,0.00748999428244711,0.00295576902776312,0.000818617705531517,0.000191138805000191,0.00796856842454762,0.000448229493500672,0.00047331676724648,0.00241276082391314,0.00129119945633707,0.0126006858601164,0.00402161618700515,Propionibacteriaceae
62,0.000147300714408465,7.58792508188636e-05,0.000180966360364346,0.000210940795949937,0.000116452846301652,5.67649646638095e-05,0.000140769068343383,0.000122132929480447,0.000156243896722784,8.70145314267483e-05,0.000155122934925929,0,4.8592439016489e-05,0.000147766613189226,0,9.31810134367021e-05,7.37017437832579e-05,0,0.000227527587720011,0.000120124242788255,0.000132809683723225,0.000111418129958107,0.000181044627500679,0.000172651933701657,0.0021959636097459,0.00161806347221711,0.0183154009540722,0.00709547401125199,0,0.00132320139125175,0.0706515767498077,0,0.00366727068772111,0.0197149954242385,0.000586287763829494,0.00796870472326862,0.0226562055830349,0.000670488450836434,0.00735240854762767,0.0249311716121138,0.00872093023255814,0.00384168225243896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rikenellaceae
63,0,0,0,0,0,4.25737234978571e-05,9.38460455622551e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000452611568751697,0,0.112752274390882,0.171404405545545,0.191963508478707,0.0978251742379713,0.173899199417758,0.0818872632414653,0.11932754642347,0.02693081566321,0.0781344378289758,0.129376389070467,0.140502138225962,0.171592775041051,0.146028767979987,0.216903013845587,0.106338283230714,0.291242407027051,0.169339045287638,0.162033058686751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruminococcaceae
64,0.00260231262121621,0.00820760563024041,0.00637403735949973,0.020074532414569,0.00450284339033053,0.0281979961967474,0.0426295661966544,0.0474120032243093,0.00751923752978399,0.0304840908431708,0.000879029964580263,0.00933505012416077,0.00137678577213386,0.027104618762138,0.00276441077096345,0.00695130360237798,0.00798926902610516,0.0204942353340115,0.000861354439225756,0.0227034818869802,0.0188589750886979,0.00456814332828238,0.00274584351709363,0.0252503453038674,0,0,0,0,0,0,0,0,0.000129433083096039,0,0,0,0,0,0,0,0,0,0.00218381716179073,0.000368804091266719,0,0,0,0.0005824111822947,0,0.00235807860262009,0,0.00136173523976267,0,0,0,0.00251572327044025,0.000791723846722263,0.00549643316571161,0.000152911044000153,0.000442698245808201,0,0.0150278073600757,0.000402126803985523,0.0192320761128101,0.0043863146981418,0.00119391730551715,Saccharimonadaceae
65,0.0298774949058503,0.0322233885144107,0.0176743811955844,0.0550203909436085,0.00543446616074375,0.042020265092385,0.027215353213054,0.120997093236278,0.017284481074958,0.0638396612234243,0.0162620543447349,0.0509748919341488,0.00364443292623668,0.0243181626277126,0.0390430360738541,0.00915037551948415,0.00036850871891629,0.0351390301797219,0.015634395670475,0.0216738455202238,0.0271880395393401,0.0211025938140654,0.0114963338462931,0.0153444406077348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00429661830864884,0.0234948604992658,0.00698269079464988,0,0.00609821910415542,0,0.00219260680393299,0.00134261716676554,0.0162882096069869,0,0.00758681062153487,0.0130149620823939,0.0107478360749887,0.000277392510402219,0.00700400228702115,0.00876174390372638,0,0,0.00315422500138343,0,0.0137261862501479,0.00160850721594209,0.0131838260278627,0.00462556822713135,0.000816890787985422,Selenomonadaceae
67,0.000859254167382712,0.00041733587950375,0.000361932720728691,0.0183166924483195,0.000252314500320245,0.00183067011040786,0.00232268962766581,0.00202740662937541,0,0.00298749891231836,0,0.00119562218339005,0,0.000422190323397788,0.000443670864475615,0.000931810134367021,0,0.000826551373346897,0.000162519705514294,0.000171606061126079,0.000683021230576584,0.00111418129958107,0,0.00640970303867403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000737608182533438,0,0.00609821910415542,0,0.00219260680393299,9.36709651231773e-05,0.00187772925764192,0,0.00301527088804591,0.000204960032793605,0.000943512327193666,0,0.000343053173241852,0,0,0,0.0013280947374246,0,0,0.00031276529198874,0.00237852531430513,0.00669909881170747,0,Spirochaetaceae
68,0.249502860088871,0.205544243926498,0.367482355779864,0.128779355927436,0.242726549308076,0.182172962847331,0.169673650376557,0.141307799408877,0.165813835397055,0.0961510572265568,0.296905297448228,0.157523222661639,0.220852635329943,0.1659419066115,0.142486604552746,0.266385881212844,0.458233221798028,0.19086978636826,0.245193479709415,0.18569491874453,0.175783102813668,0.309564132275604,0.251018376029691,0.186982044198895,0.00373836662135313,0.0510057735446622,0.0332880671332567,0.019019229154421,0.0112354439592431,0.0159162224490567,0.000549390176903637,0.0327348707630398,0.0183794977996376,0.00107203556020395,0.00869085391088426,0.00758234328214044,0.00258684405025868,0.0210868617788059,0.0114451285766027,0.00585587554079448,0.00924112607099143,0.0159985846433807,0.429157724311909,0.410552714398112,0.669989967394031,0.361521856449002,0.539065555522128,0.234643187502141,0.429325256814563,0.361091703056769,0.598612487611497,0.615407061569886,0.330600532896085,0.462977396726422,0.446925566343042,0.219239565465981,0.397603715823921,0.290726230850193,0.585381704193585,0.461568258535776,0.392051396981921,0.246006389776358,0.324829096108306,0.232483860006796,0.278650610096499,0.257132084956642,Streptococcaceae
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00485419041665134,0.00682475016539573,0.0117138298765639,0.00864264919941776,0.00986730180333447,0.00578690986338498,0,0,0.00536017780101974,0.00820802869361291,0.0107939727615184,0.00469043151969981,0,0.0140890981528432,0.00517851680286676,0,0.00641965323762827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sutterellaceae
71,0.00139935678688042,0.0102689919441529,0.00235256268473649,0.0140978765293208,0.0042117112745764,0.0109840206624471,0.00403537995917697,0.0100026869244486,0.00171868286395063,0.0111668648664327,0.00899713022570387,0.00899015910972133,0.00181411772328226,0.00369416532973064,0.00662093443909764,0.00270224938966436,5.89613950266063e-05,0.00587063411325873,0.00253530740602298,0.00523398486434541,0.00489498548579885,0.00283002050093591,0.0029872363537612,0.00718663674033149,0.0120777998536024,0.00323612694443423,0.0139628817159372,0.0408514568813502,0.00245633187772926,0.0161052512192356,0.0119034538329121,0,0,0.0197672898418094,0.00503517726582977,0.00603689751762774,0.00662345784297004,0.00144155016929833,0.0132198478812025,0.00937377092164489,0,0.00669766971642319,0.00417937422342709,0.00277832415420928,0,0.00431732325957906,0.000992809651313216,0.00222686628524444,0.000624473100821182,0.00266375545851528,0,0.00243167007100477,0.0116827218692355,0.0033638265578209,0,0.00906232132647227,0.00121397656497414,0,0,0.00232416579049306,0,0.00082830434268134,0.00116169965595818,0.00101936799184506,0.0105271552755403,0.00207364584642453,Tannerellaceae
74,0.216311099108831,0.14046513980752,0.248889067621097,0.0157502460975953,0.112066455757623,0.0263105611216757,0.0280365061117237,0.080681013214783,0.405941174172884,0.0328624880355019,0.210734507096874,0.298767589441736,0.0897178399041109,0.171578147428861,0.153919661445002,0.0803593059878119,0.0812782830441768,0.128475754493048,0.217240090360956,0.0674068608103238,0.119263095983456,0.114248150459043,0.106303370447482,0.029113432320442,0.00128097877235177,0.00577354466222925,0,0,0.0107350800582242,0.0762920116441722,0.00791121854741237,0.00410153227054636,0,0.0176232187214015,0,0.0224089635854342,0.00730570242765365,0.0171645043414127,0,0.00622733033256129,0.000673194614443084,0.0388970328059445,0.04175609021424,0.049345987411487,0.0665600702282418,0.0698327037236913,0.0267456903035591,0.037822467367844,0.0389671214912418,0.0258515283842795,0.0416725659540328,0.00817041143857601,0.0350481656077065,0.0898798047339705,0.0147018030513176,0.0567753001715266,0.0343080333579647,0.0525084785405216,0.0542834206200543,0.0392894693154778,0.0729119976094427,0.163412613891847,0.0492381931102274,0.130343187223921,0.0234468458409762,0.0360060324242805,Veillonellaceae
76,0.00265141285935237,0.00671531369746943,0.00293567651257716,0.00481648150752356,0.01104361159094,0.0100048250219964,0.00565422424512587,0.0106255648647988,0.00728487168469982,0.00904951126838182,0.00400734248558649,0.00471351053067231,0.012520651786582,0.00415857468546821,0.00986314460257329,0.00721221044000075,0.00644153240665674,0.00417514411664971,0.00256781134712584,0.00713881214284489,0.0073804238526192,0.00492468134414832,0.00470716031501765,0.0103591160220994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00335102978274784,0.0360690401258851,0.00191246551291698,0.00820291419320022,0.00358013177291736,0.00681763678097914,0.00462110094607675,0.0219650655021834,0.0435603379111803,0.00564147456473106,0.00153720024595204,0.00266644788119949,0.093712436430883,0.00345911949685535,0.0131426158555896,0.00397614314115308,0.00753086891700753,0.0233523324663826,0.00119527864933513,0.00094663353449296,0.00268084535990349,0.00129119945633707,0.0195390382008135,0.0143898454191278,Weeksellaceae
